,HIERARCHY_LEVEL,CURRENCY,RUN_TYPE,30/06/2022,PHP,IR,CS,VA,SA,INFL,AuM_UL,AuM_AZFR
1,UL,EUR,INT_UP,-5371167.0,NET,-5371167.0,-5371167.0,-5371167.0,-5371167.0,-5371167.0,-5371167.0,-5371167.0
2,UL,EUR,INT_DOWN,3997550.0,NET,3997550.0,3997550.0,3997550.0,3997550.0,3997550.0,3997550.0,3997550.0
3,UL,EUR,EQ_GLOBAL_DOWN,14852167.0,NET,14852167.0,14852167.0,14852167.0,14852167.0,14852167.0,14486222.496800955,14486222.496800955
4,UL,EUR,EQ_OTHER_DOWN,34881890.0,NET,34881890.0,34881890.0,34881890.0,34881890.0,34881890.0,34022430.50788052,34022430.50788052
8,UL,EUR,RE_DOWN,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,UL,EUR,FX_USD_DOWN,-1671852.0,NET,-1671852.0,-1671852.0,-1671852.0,-1671852.0,-1671852.0,-1671852.0,-1671852.0
10,UL,EUR,FX_USD_UP,1671852.0,NET,1671852.0,1671852.0,1671852.0,1671852.0,1671852.0,1671852.0,1671852.0
11,UL,EUR,FX_CHF_DOWN,-127809.0,NET,-127809.0,-127809.0,-127809.0,-127809.0,-127809.0,-127809.0,-127809.0
12,UL,EUR,FX_CHF_UP,127809.0,NET,127809.0,127809.0,127809.0,127809.0,127809.0,127809.0,127809.0
13,UL,EUR,FX_GBP_DOWN,-210154.0,NET,-210154.0,-210154.0,-210154.0,-210154.0,-210154.0,-210154.0,-210154.0
14,UL,EUR,FX_GBP_UP,210154.0,NET,210154.0,210154.0,210154.0,210154.0,210154.0,210154.0,210154.0
16,AZFR,EUR,INT_UP,-595500.6999999881,NET,-595500.6999999881,-595500.6999999881,-595500.6999999881,-595500.6999999881,-595500.6999999881,-595500.6999999881,-595500.6999999881
17,AZFR,EUR,INT_DOWN,405814.40000000596,NET,405814.40000000596,405814.40000000596,405814.40000000596,405814.40000000596,405814.40000000596,405814.40000000596,405814.40000000596
18,AZFR,EUR,EQ_GLOBAL_DOWN,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,AZFR,EUR,EQ_OTHER_DOWN,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,AZFR,EUR,RE_DOWN,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,AZFR,EUR,FX_USD_DOWN,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,AZFR,EUR,FX_USD_UP,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,AZFR,EUR,FX_CHF_DOWN,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
