,HIERARCHY_LEVEL,CURRENCY,RUN_TYPE,30/06/2022,PHP,IR,CS,VA,SA,INFL,AuM_UL,AuM_AZFR
1,UL,EUR,MORT_LEVEL_UP,1822388.0,NET,1822388.0,1822388.0,1822388.0,1822388.0,1822388.0,1822388.0,1822388.0
2,UL,EUR,LONG_LEVEL_DOWN,419832.0,NET,419832.0,419832.0,419832.0,419832.0,419832.0,419832.0,419832.0
3,UL,EUR,MORB_LEVEL_UP,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,UL,EUR,LAPSE_LEVEL_UP,22024330.0,NET,22024330.0,22024330.0,22024330.0,22024330.0,22024330.0,20976390.14988373,20976390.14988373
8,UL,EUR,LAPSE_LEVEL_DOWN,17497541.0,NET,17497541.0,17497541.0,17497541.0,17497541.0,17497541.0,16664990.33930143,16664990.33930143
9,UL,EUR,LAPSE_MASS,36771840.0,NET,36771840.0,36771840.0,36771840.0,36771840.0,36771840.0,35022198.73971651,35022198.73971651
10,UL,EUR,MAINT_EXP,12871398.0,NET,12871398.0,12871398.0,12871398.0,12871398.0,12871398.0,12871398.0,12871398.0
11,UL,EUR,MORT_LEVEL_CAT,118127.0,NET,118127.0,118127.0,118127.0,118127.0,118127.0,118127.0,118127.0
12,UL,EUR,REVISION,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,AZFR,EUR,MORT_LEVEL_UP,982869.900000006,NET,982869.900000006,982869.900000006,982869.900000006,982869.900000006,982869.900000006,982869.900000006,982869.900000006
15,AZFR,EUR,LONG_LEVEL_DOWN,23013.80000001192,NET,23013.80000001192,23013.80000001192,23013.80000001192,23013.80000001192,23013.80000001192,23013.80000001192,23013.80000001192
16,AZFR,EUR,MORB_LEVEL_UP,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,AZFR,EUR,LAPSE_LEVEL_UP,27707280.28,NET,27707280.28,27707280.28,27707280.28,27707280.28,27707280.28,27707280.28,23156504.548882216
21,AZFR,EUR,LAPSE_LEVEL_DOWN,1503463.700000003,NET,1503463.700000003,1503463.700000003,1503463.700000003,1503463.700000003,1503463.700000003,1503463.700000003,1256527.6583014145
22,AZFR,EUR,LAPSE_MASS,40138712.77000001,NET,40138712.77000001,40138712.77000001,40138712.77000001,40138712.77000001,40138712.77000001,40138712.77000001,33546139.334206134
23,AZFR,EUR,MAINT_EXP,1443526.400000006,NET,1443526.400000006,1443526.400000006,1443526.400000006,1443526.400000006,1443526.400000006,1443526.400000006,1443526.400000006
24,AZFR,EUR,MORT_LEVEL_CAT,56026.80000001192,NET,56026.80000001192,56026.80000001192,56026.80000001192,56026.80000001192,56026.80000001192,56026.80000001192,56026.80000001192
25,AZFR,EUR,REVISION,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,NEMIAN,EUR,MORT_LEVEL_UP,94494.93999999762,NET,94494.93999999762,94494.93999999762,94494.93999999762,94494.93999999762,94494.93999999762,94494.93999999762,94494.93999999762
28,NEMIAN,EUR,LONG_LEVEL_DOWN,20957.84999999404,NET,20957.84999999404,20957.84999999404,20957.84999999404,20957.84999999404,20957.84999999404,20957.84999999404,20957.84999999404
29,NEMIAN,EUR,MORB_LEVEL_UP,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,NEMIAN,EUR,LAPSE_LEVEL_UP,1399356.25,NET,1399356.25,1399356.25,1399356.25,1399356.25,1399356.25,1399356.25,1399356.25
